# Таблица 57 (Изображение 86 / input_file_24.png): Недоимка окладных сборов за 1901 год (Часть 3 Левая)
Наименованіе окладныхъ сборовъ,На 1 января 1901 г. числилось: Отроченныхъ,На 1 января 1901 г. числилось: Срочныхъ,Причислено: Отроченныхъ,Причислено: Срочныхъ,Исключено: Отроченныхъ,Исключено: Срочныхъ,Всего причиталось къ поступленію: ВСЕГО,Всего причиталось къ поступленію: Отроченныхъ,Всего причиталось къ поступленію: Срочныхъ,ОКЛАДА
"II. Съ прочихъ сословій: Губернской повинности",,,,,,
Съ мѣщанъ городовъ,—,5427-25 3/4,—,34-42,—,1053-59,4408-9 1/2,—,4408-9 1/2,—
Съ земель принадлежащихъ городамъ,—,1331-89,—,—,—,228-93,1102-96,—,1102-96,3021-85
Съ частно-владѣльческ. земель,—,—,—,1171-12,—,—,1171-12,—,1171-12,1171-12
Съ казенныхъ земель и лѣсовъ,—,3949-62,—,—,—,—,3949-62,—,3949-62,4553-34
50% сбора съ налога недвижимыхъ имуществъ,—,794-89,—,—,—,—,794-89,—,794-89,9000-
Пени съ 50% сбора,—,—,—,79-84,—,—,79-84,—,79-84,—
ИТОГО по 2-му раздѣлу губерн.,—,11443-66 1/2,—,1284-88,—,1282-52,11446-2 1/2,—,11446-2 1/2,17746-32
ИТОГО по § 1 ст. 10 и губернской повинности,—,131320-30,—,2683-27 1/4,—,4305-90 1/2,129697-67,—,129697-67,337228-79 1/2
"Ясачнаго сбора съ кочевыхъ и бродячихъ инородцевъ",,,,,,
по Енисейскому уѣзду,—,3673-73,—,—,—,—,3673-73,—,3673-73,1455-30
Туруханскому краю, Енисейск. губ.,—,535-91,—,—,—,—,535-91,—,535-91,3013-3
ИТОГО,—,4209-64,—,—,—,—,4209-64,—,4209-64,4468-33
"ВСЕГО вообще всѣхъ суммъ по губерніи",13238-88 1/2,300640-76 1/2,—,9660-67 1/2,6066-99 1/4,5677-61 1/2,311795-71 1/2,7171-89,304623-82,746359-76 1/2
