НАИМЕНОВАНІЕ МЪСТНОСТЕЙ,Ссыльно-поселенцевъ (м.),Ссыльно-поселенцевъ (ж.),Водворяемыхъ рабочихъ (м.),Водворяемыхъ рабочихъ (ж.),Сосланныхъ на житье (м.),Сосланныхъ на житье (ж.),Административно-сосланныхъ (м.),Административно-сосланныхъ (ж.)
По Красноярскому уѣзду,7,—,—,—,—,—,—,—
Ачинскому,262,6,1,—,3,—,22,1
Минусинскому,73,7,—,—,2,—,5,—
Енисейскому,12,—,—,—,5,—,4,—
Kанскому,10,—,—,—,3,—,4,—
Итого,364,13,1,—,13,—,35,—
