# Таблица 61 (Изображение 90 / input_file_28.png): Судебная статистика преступлений (Часть 2 Левая)
Наименованіе преступленій,Число преступленій,Число осужденныхъ: М.,Число осужденныхъ: Ж.,Дворянъ потомственныхъ: М.,Дворянъ потомственныхъ: Ж.,Дворянъ личныхъ: М.,Дворянъ личныхъ: Ж.,Почетныхъ гражданъ и купцовъ: М.,Почетныхъ гражданъ и купцовъ: Ж.,Духовнаго званія: М.,Духовнаго званія: Ж.,Мѣщанъ: М.,Мѣщанъ: Ж.,Крестьянъ: М.,Крестьянъ: Ж.
О преступленіяхъ противъ общественной нравственности,20,12,11,—,—,—,—,1,—,—,—,2,1,9,10
О нарушеніи устава почтово-телеграфнаго,2,2,—,—,—,1,—,—,—,—,—,—,—,1,—
О нарушеніи уставовъ торговыхъ,6,13,—,—,—,————,——,————,——,————,——,2,—,10,—
О преступленіяхъ противъ законовъ о состояніяхъ,13,6,2,—,—,1,—,————,——,————,——,—,—,3,2
О смертоубійствѣ,68,59,11,—,—,————,——,2,————,————,——,4,2,36,7
О самоубійствѣ,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
О нанесеніи увѣчья ранъ и др. поврежденій здоровью,143,140,6,—,—,————,——,————,——,————,——,17,2,102,4
О преступленіяхъ противъ чести и цѣломудрія женщинъ,2,2,—,—,—,————,——,————,——,————,——,————,——,1,—
О непосредственныхъ личныхъ оскорбленіяхъ,3,8,1,—,—,————,——,————,——,————,——,————,1,8,—
О клеветѣ и распространеніи оскорбительныхъ... ,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
О преступленіяхъ противъ союза брачнаго,13,5,6,—,—,————,——,————,——,————,——,————,1,4,4
О преступленіяхъ дѣтей противъ родителей...,————,————,————,————,————,————,————,————,————,————,————,————,————,————,————
О зажигательствѣ,5,3,2,—,—,————,——,————,2,————,——,————,——,2,—
Объ истребленіи чужого имущества,1,—,1,—,—,————,——,————,——,————,——,————,——,————,1
О разбоѣ,10,8,—,—,—,————,——,————,——,————,——,————,——,6,—
О грабежѣ,21,28,6,—,—,————,——,————,——,————,——,4,————,14,4
О кражѣ,247,241,18,—,—,————,——,3,————,————,——,23,1,139,15
О мошенничествѣ,1,1,—,—,—,————,——,————,——,————,——,————,——,1,—
О присвоеніи и утайкѣ чужой собственности,9,6,—,—,—,1,————,1,————,————,——,————,————,3,————
О преступленіяхъ по договорамъ...,11,9,1,—,—,————,——,————,——,2,————,2,————,3,1
Итого по Уложенію о наказаніяхъ,1091,933,106,1,—,10,—,11,2,3,—,110,17,573,75
