# Таблица 53 (Изображение 82 / input_file_20.png): Недоимка окладных сборов за 1901 год (Часть 1 Левая)
Наименованіе окладныхъ сборовъ,На 1 января 1901 г. числилось: Отроченныхъ,На 1 января 1901 г. числилось: Срочныхъ,Причислено: Отроченныхъ,Причислено: Срочныхъ,Исключено: Отроченныхъ,Исключено: Срочныхъ,Всего причиталось къ поступленію: ВСЕГО,Всего причиталось къ поступленію: Отроченныхъ,Всего причиталось къ поступленію: Срочныхъ,ОКЛАДА
"1. Съ сельскихъ сословій: Подати и окладные платежи",,,,,,
Подушная подать: съ крестьянъ старожиловъ,5640-25 1/2,12688-6 1/4,—,1566-50 3/4,1566-48 1/2,129-10,18109-25 3/4,4285-78,13823-47 3/4,945-87
Подушная подать: съ крестьянъ изъ ссыльныхъ,—,8-79,—,—,—,—,8-79,—,8-79,—
Подушная подать: съ крестьянъ изъ казаковъ,28-55 1/2,17-41,—,1-22,1-22,—,48-76 1/2,27-13 1/2,21-63,—
Подушная подать: съ осѣдл. инородцевъ,—,17-97,—,—,—,—,17-97,—,17-97,—
Подушная подать: съ купцовъ и мѣщанъ...,—,76-86,—,—,—,7-62,69-24,—,69-24,—
Подушная подать: съ кочевыхъ инородцевъ,—,24-83,—,-3,—,—,24-86,—,24-86,—
ИТОГО по губерніи подушной подати,5668-81,12828-26 1/4,—,1567-75 3/4,1567-67 1/2,136-42,18270-50,4310-91 1/2,13959-58 1/2,945-87
Межевой сборъ: съ крестьянъ старожиловъ,—,70-41 1/2,—,-4 1/3,—,4-18,66-67,—,66-67,—
Межевой сборъ: съ переселенцевъ половиннаго оклада,—,1-87 1/2,—,—,—,1-87 1/2,—,—,—,—
Межевой сборъ: съ купцовъ и мѣщанъ...,—,12-86 1/2,—,—,—,2-10,10-76 1/2,—,10-76 1/2,—
Межевой сборъ: съ кочевыхъ инородцевъ,—,3-26,—,-15,—,—,3-41,—,3-41,—
ИТОГО по губерніи межевого сбора,—,88-41 1/2,—,-6 1/3,—,8-15 1/2,80-84 1/2,—,80-84 1/2,—
Оброчная подать: съ мѣщанъ г. Канска,1509-82,3067-20,—,351-54,351-54,—,4577-2,978-28,3598-74,3430-48
Оброчная подать: съ крестьянъ старожиловъ,6260-47 1/2,32062-89 1/2,—,4377-78,4377-78,360-81 1/2,37962-85 1/2,1882-69 1/2,36080-16 1/4,1169-98
Оброчная подать: изъ ссыльныхъ,—,12-33,—,—,—,—,12-33,—,12-33,—
Оброчная подать: съ купцовъ и мѣщанъ...,—,177-84 1/2,—,—,—,16-44,161-40 1/2,—,161-40 1/2,—
ИТОГО по губерніи оброчной подати,7770-29 1/2,35320-27 1/4,—,4729-32,4729-32,376-95 1/2,42815-61 1/4,2860-97 1/2,39862-63 3/4,4600-46
Пожарнаго капитала: съ крестьянъ старожиловъ,—,129-67,—,—,—,-28,130-8,—,130-8,—
Пожарнаго капитала: съ крестьянъ изъ ссыльныхъ,—,973-90 1/2,—,-4,—,-88,974-76 1/2,—,974-76 1/2,—
Пожарнаго капитала: съ административно-ссыльн.,—,9-34 1/2,—,64,—,3,9-34 1/2,—,9-34 1/2,—
Пожарнаго капитала: съ купцовъ и мѣщанъ...,—,6-91,—,-56,—,-98,6-29,—,6-29,—
ИТОГО по губерніи пожарнаго капитала,—,815-25,—,1-4,—,1-84,814-48,—,814-48,—
Экономическаго капитала съ поселенцевъ,—,3146-9 1/2,—,357-19 1/2,—,261-63,3240-60,—,3240-60,2072-16 1/2
"2. Прочихъ сословій: Налоговъ съ недвижимыхъ имуществъ",,—,1994-43,—,164-67,—,—,1829-15,—,1829-15,18000-
