НАЗВАНІЕ БОЛЬНИЦЪ,Оставалось къ 1901 г.,Въ 1901 г. заболѣло,Въ 1901 г. выздоровѣло,Въ 1901 г. умерло,Осталось къ 1902 г.
Красноярская съ домомъ умалишенныхъ,165,1620,1452,181,152
Енисейская,44,368,312,58,42
Ачинская,33,420,379,45,29
Канская,28,468,411,59,26
Минусинская,18,283,259,20,22
Итого,288,3159,2813,363,271
